,Symbol,Price,One-Year Price Return,Number of Shares to Buy
430,RCL,73.54,0.0016734608442772812,26
431,TAP,45.32,-0.002141137748194436,43
432,CHTR,669.0,-0.0030751480304820763,2
433,LMT,353.67,-0.004311147552671017,5
434,LYB,89.2,-0.004866755065565789,22
435,ALK,50.58,-0.006370874329630705,39
436,HON,212.18,-0.006761817430341424,9
437,PKG,134.98,-0.00839085392942244,14
438,CAG,35.72,-0.00969511014547706,55
439,SRE,128.23,-0.012988170748517222,15
440,MRK,78.81,-0.0142892167643404,25
441,CL,84.59,-0.01854542779717034,23
442,GL,90.54,-0.02696224475578076,21
443,CMCSA,49.54,-0.0303184649315702,40
444,WMT,145.23,-0.03445850730107091,13
445,CMI,213.12,-0.03873354769434189,9
446,TDG,603.83,-0.0403889934662326,3
447,BIIB,240.93,-0.05062088164576881,8
448,LEG,38.22,-0.05726697201231645,51
449,CAH,51.43,-0.06438830176832822,38
450,CPB,43.31,-0.06481397636386536,45
451,UHS,128.2,-0.06707987106809649,15
452,ROST,112.56,-0.07455689003600567,17
453,VZ,54.01,-0.07476937332946221,36
454,BF.B,74.5,-0.07523994359443527,26
455,PAYC,422.35,-0.07548164283154349,4
456,FDX,262.18,-0.08430067332501695,7
457,FMC,107.36,-0.08608225049440302,18
458,DISCK,23.27,-0.08655188567995864,85
459,UAL,40.9,-0.08978466930123144,48
460,DVA,106.42,-0.0916662331309876,18
461,ADSK,278.69,-0.0924876785397785,7
462,OGN,30.98,-0.0929831980636488,64
463,QRVO,148.4,-0.09337955062104268,13
464,TMUS,122.29,-0.09630556144916,16
465,VRTX,219.17,-0.09751222120001123,9
466,FISV,104.16,-0.0998433775102702,19
467,PNW,69.3,-0.10110387292183018,28
468,EA,132.05,-0.10272995400614304,15
469,DAL,37.69,-0.10604768371441345,52
470,MDT,103.58,-0.12092969262507715,19
471,CLX,178.0,-0.1274497729500723,11
472,BA,197.96,-0.1290587085764526,10
473,TTWO,176.67,-0.1387555923576669,11
474,DIS,150.4,-0.1409531833184854,13
475,LUV,39.91,-0.14380473095127103,49
476,VFC,74.22,-0.14691007160172545,26
477,VIAC,30.09,-0.15092486575994535,65
478,T,24.81,-0.15256612559509086,79
479,CCL,18.57,-0.15473473467744314,106
480,GPS,17.52,-0.159704391125381,113
481,DISCA,23.78,-0.169665069709719,83
482,LDOS,89.53,-0.1729589132444834,22
483,INCY,75.0,-0.1780104169600461,26
484,MTCH,132.64,-0.1844586029290641,14
485,ROL,33.02,-0.19242103858189644,60
486,NCLH,21.03,-0.1995621701335019,94
487,ZBH,125.05,-0.2035463162431813,15
488,WU,17.75,-0.21169830880226556,111
489,TFX,323.9,-0.2132355486586667,6
490,PYPL,193.0,-0.21646016659120454,10
491,TWTR,44.45,-0.2380901042655379,44
492,FLT,216.36,-0.23886368790015128,9
493,IPGP,169.97,-0.24446520348226877,11
494,FIS,111.04,-0.2589574731064177,17
495,VTRS,13.27,-0.259049702546452,149
496,LW,58.26,-0.2612399572846276,34
497,WYNN,85.86,-0.297761082033864,23
498,MKTX,425.62,-0.3008113660322349,4
499,ATVI,63.59,-0.3209020365738789,31
500,GPN,129.68,-0.3483405617652008,15
501,CTXS,85.1,-0.372291180602428,23
502,LVS,35.62,-0.3872392744612933,55
503,PENN,50.36,-0.480951420103592,39
