,Symbol,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
31,ORCL,99.92,196,0.5280216507464104,0.8472222222222223,0.2846516241143491,0.9087301587301587,0.124355632043659,0.8174603174603174,0.02128569537092544,0.7202380952380952,0.8234126984126984
32,SCHW,84.88,231,0.6268713855631995,0.9166666666666667,0.19536527043708773,0.757936507936508,0.1881150424267935,0.9265873015873016,0.015458032081340166,0.6884920634920636,0.822420634920635
33,KEYS,199.9,98,0.5450913666516796,0.8571428571428571,0.352728488228183,0.9484126984126984,0.1132213642286946,0.7837301587301587,0.015408413234763047,0.6865079365079364,0.8189484126984127
34,CF,67.21,291,0.7809914470561584,0.9662698412698413,0.3549950565357624,0.9523809523809524,0.34004622610740304,0.9861111111111112,-0.04124067272166905,0.3670634920634921,0.8179563492063493
35,ODFL,351.08,55,0.7214759192844874,0.9603174603174603,0.3934739174645047,0.9702380952380952,0.17767732697857988,0.9047619047619048,-0.03210668993980388,0.41865079365079366,0.8134920634920635
36,TER,159.94,122,0.3087603911354042,0.5992063492063492,0.26496301887302137,0.880952380952381,0.290813214611033,0.9761904761904762,0.03796214853974145,0.7916666666666667,0.8120039682539683
37,UDR,58.55,334,0.6427551318196738,0.9285714285714286,0.22753185551265928,0.8154761904761905,0.1018717006808386,0.744047619047619,0.023154581669766368,0.7400793650793651,0.8070436507936508
38,FTNT,335.2,58,1.3285534335183966,0.996031746031746,0.44999764338023507,0.9781746031746031,0.11997555856265613,0.8015873015873016,-0.029494077258152118,0.4384920634920635,0.8035714285714286
39,KR,45.2,433,0.4968247504498049,0.8214285714285714,0.17341019800312232,0.7003968253968255,0.10191741958431506,0.746031746031746,0.0825892430253026,0.9325396825396826,0.8000992063492064
40,ABBV,134.93,145,0.2998856641128533,0.5813492063492063,0.17285017334624564,0.6984126984126984,0.21976959844781888,0.9444444444444444,0.10821542444423236,0.9702380952380952,0.798611111111111
41,MCK,238.48,82,0.361038328717655,0.6746031746031745,0.2748113086963195,0.8928571428571429,0.12866274624534502,0.8194444444444444,0.03699485870440333,0.7896825396825397,0.7941468253968254
42,PFG,74.38,263,0.5762077647557051,0.880952380952381,0.2303238797862049,0.8214285714285714,0.11435651548022925,0.7896825396825397,0.0151689186660284,0.6825396825396826,0.7936507936507937
43,INTU,626.72,31,0.6529103208109314,0.9345238095238095,0.3199709914148837,0.9325396825396826,0.1060705666647543,0.7678571428571429,-0.01439542332545844,0.5218253968253969,0.7891865079365079
44,DVN,41.1,477,1.64424252245809,1.0,0.524347426679299,0.992063492063492,0.3490257928204749,0.9900793650793651,-0.0809959852601217,0.1746031746031746,0.7891865079365079
45,MSI,271.57,72,0.5652185813755058,0.875,0.2622193324290469,0.878968253968254,0.0991608891190144,0.7301587301587301,0.01058961261442238,0.6626984126984127,0.7867063492063492
46,NVR,5708.39,3,0.3485899627318076,0.6488095238095238,0.1838058461479395,0.7321428571428571,0.11445759961288887,0.7916666666666667,0.10394260372271,0.9642857142857143,0.7842261904761905
47,TMO,670.26,29,0.4133443462710972,0.742063492063492,0.3596236051075936,0.9543650793650794,0.09268600400922926,0.7083333333333333,0.02238373452225384,0.7301587301587301,0.7837301587301587
48,DLTR,141.6,138,0.227697087401815,0.48412698412698413,0.3699070008310632,0.9583333333333333,0.5423006937125382,0.998015873015873,0.01618234952261782,0.6944444444444444,0.7837301587301587
49,AOS,83.05,236,0.4962685454986173,0.8194444444444444,0.2381646524320674,0.8353174603174603,0.2481821003397825,0.9563492063492063,-0.0176437742006519,0.5099206349206349,0.7802579365079365
50,AAP,243.49,80,0.4896154459278139,0.8095238095238095,0.2231169472655087,0.8035714285714286,0.13748208186771196,0.8392857142857143,0.008167593935080902,0.6507936507936507,0.7757936507936508
